name;description;app layer;features;documentation
template2;TODO describe the keyword;Unset;prefilter;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/header-keywords.html#template2;
ipv4.hdr;sticky buffer to match on the IPV4 header;Unset;No option:sticky buffer;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/header-keywords.html#ipv4hdr;
ipv6.hdr;sticky buffer to match on the IPV6 header;Unset;No option:sticky buffer;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/header-keywords.html#ipv6hdr;
icmpv6.hdr;sticky buffer to match on the ICMP V6 header;Unset;No option:sticky buffer;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/header-keywords.html#icmpv6hdr;
icmpv6.mtu;match on ICMPv6 MTU field;Unset;prefilter;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/header-keywords.html#icmpv6mtu;
tcp.hdr;sticky buffer to match on the TCP header;Unset;No option:sticky buffer;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/header-keywords.html#tcphdr;
udp.hdr;sticky buffer to match on the UDP header;Unset;No option:sticky buffer;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/header-keywords.html#udphdr;
tcp.mss;match on TCP MSS option field;Unset;prefilter;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/header-keywords.html#tcpmss;
ftpdata_command;match FTP command triggering a FTP data channel;Unset;none;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/ftp-keywords.html#ftpdata-command;
target;indicate to output module which side is the target of the attack;Unset;none;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/meta.html#target;
snmp.version;match SNMP version;Unset;none;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/snmp-keywords.html#snmp-version;
snmp.community;SNMP content modifier to match on the SNMP community;Unset;No option:sticky buffer;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/snmp-keywords.html#snmp-community;
snmp.pdu_type;match SNMP PDU type;Unset;none;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/snmp-keywords.html#snmp-pdu-type;
mqtt.type;match MQTT control packet type;Unset;none;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/mqtt-keywords.html#mqtt-type;
mqtt.flags;match MQTT fixed header flags;Unset;none;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/mqtt-keywords.html#mqtt-flags;
mqtt.qos;match MQTT fixed header QOS level;Unset;none;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/mqtt-keywords.html#mqtt-qos;
mqtt.protocol_version;match MQTT protocol version;Unset;none;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/mqtt-keywords.html#mqtt-protocol-version;
mqtt.reason_code;match MQTT 5.0+ reason code;Unset;none;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/mqtt-keywords.html#mqtt-reason-code;
mqtt.connect.flags;match MQTT CONNECT variable header flags;Unset;none;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/mqtt-keywords.html#mqtt-connect-flags;
mqtt.connect.clientid;sticky buffer to match on the MQTT CONNECT client ID;Unset;No option;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/mqtt-keywords.html#mqtt-connect-clientid;
mqtt.connect.username;sticky buffer to match on the MQTT CONNECT username;Unset;No option;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/mqtt-keywords.html#mqtt-connect-username;
mqtt.connect.password;sticky buffer to match on the MQTT CONNECT password;Unset;No option;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/mqtt-keywords.html#mqtt-connect-password;
mqtt.connect.willtopic;sticky buffer to match on the MQTT CONNECT will topic;Unset;No option;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/mqtt-keywords.html#mqtt-connect-willtopic;
mqtt.connect.willmessage;sticky buffer to match on the MQTT CONNECT will message;Unset;No option;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/mqtt-keywords.html#mqtt-connect-willmessage;
mqtt.connack.session_present;match MQTT CONNACK session present flag;Unset;none;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/mqtt-keywords.html#mqtt-connack-session-present;
mqtt.publish.topic;sticky buffer to match on the MQTT PUBLISH topic;Unset;No option;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/mqtt-keywords.html#mqtt-publish-topic;
mqtt.publish.message;sticky buffer to match on the MQTT PUBLISH message;Unset;No option;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/mqtt-keywords.html#mqtt-publish-message;
mqtt.subscribe.topic;sticky buffer to match MQTT SUBSCRIBE topic;Unset;No option:sticky buffer;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/mqtt-keywords.html#mqtt-subscribe-topic;
mqtt.unsubscribe.topic;sticky buffer to match MQTT UNSUBSCRIBE topic;Unset;No option:sticky buffer;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/mqtt-keywords.html#mqtt-unsubscribe-topic;
bypass;call the bypass callback when the match of a sig is complete;Unset;No option;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/bypass-keyword.html;
prefilter;force a condition to be used as prefilter;Unset;No option;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/prefilter-keywords.html#prefilter;
compress_whitespace;modify buffer to compress consecutive whitespace characters into a single one before inspection;Unset;No option:transform;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/transforms.html#compress-whitespace;
strip_whitespace;modify buffer to strip whitespace before inspection;Unset;No option:transform;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/transforms.html#strip-whitespace;
to_md5;convert to md5 hash of the buffer;Unset;No option:transform;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/transforms.html#to-md5;
to_sha1;convert to sha1 hash of the buffer;Unset;No option:transform;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/transforms.html#to-sha1;
to_sha256;convert to sha256 hash of the buffer;Unset;No option:transform;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/transforms.html#to-sha256;
dotprefix;modify buffer to extract the dotprefix;Unset;No option:transform;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/transforms.html#dotprefix;
pcrexform;modify buffer via PCRE before inspection;Unset;transform;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/transforms.html#pcre-xform;
url_decode;modify buffer to decode urlencoded data before inspection;Unset;No option:transform;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/transforms.html#url-decode;
