name;description;app layer;features;documentation
id;match on a specific IP ID value;Unset;prefilter;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/header-keywords.html#id;
rpc;match RPC procedure numbers and RPC version;Unset;none;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/payload-keywords.html#rpc;
flowvar;;Unset;none;;
flowint;operate on a per-flow integer;Unset;none;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/flow-keywords.html#flowint;
pktvar;;Unset;none;;
noalert;no alert will be generated by the rule;Unset;No option;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/flow-keywords.html;
flowbits;operate on flow flag;Unset;compatible with IP only rule;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/flow-keywords.html#flowbits;
hostbits;operate on host flag;Unset;compatible with IP only rule;;
ipv4-csum;;Unset;none;;
tcpv4-csum;;Unset;none;;
tcpv6-csum;;Unset;none;;
udpv4-csum;;Unset;none;;
udpv6-csum;;Unset;none;;
icmpv4-csum;;Unset;none;;
icmpv6-csum;;Unset;none;;
stream_size;match on amount of bytes of a stream;Unset;none;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/flow-keywords.html#stream-size;
detection_filter;alert on every match after a threshold has been reached;Unset;compatible with IP only rule;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/thresholding.html#detection-filter;
dataset;match sticky buffer against datasets (experimental);Unset;none;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/dataset-keywords.html#dataset;
datarep;operate on datasets (experimental);Unset;none;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/dataset-keywords.html#datarep;
decode-event;;Unset;compatible with decoder event only rule;;
gid;give different groups of signatures another id value;Unset;none;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/meta.html#gid-group-id;
nfq_set_mark;;Unset;none;;
bsize;match on the length of a buffer;Unset;none;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/payload-keywords.html#bsize;
tls.version;match on TLS/SSL version;Unset;none;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/tls-keywords.html#tls-version;
tls.subject;match TLS/SSL certificate Subject field;Unset;none;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/tls-keywords.html#tls-subject;
tls.issuerdn;match TLS/SSL certificate IssuerDN field;Unset;none;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/tls-keywords.html#tls-issuerdn;
tls_cert_notbefore;match TLS certificate notBefore field;Unset;none;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/tls-keywords.html#tls-cert-notbefore;
tls_cert_notafter;match TLS certificate notAfter field;Unset;none;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/tls-keywords.html#tls-cert-notafter;
tls_cert_expired;match expired TLS certificates;Unset;No option;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/tls-keywords.html#tls-cert-expired;
tls_cert_valid;match valid TLS certificates;Unset;No option;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/tls-keywords.html#tls-cert-valid;
tls.fingerprint;match TLS/SSL certificate SHA1 fingerprint;Unset;none;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/tls-keywords.html#tls-fingerprint;
tls_store;store TLS/SSL certificate on disk;Unset;No option;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/tls-keywords.html#tls-store;
http_cookie;content modifier to match only on the HTTP cookie-buffer;Unset;No option:content modifier;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/http-keywords.html#http-cookie;
http.cookie;sticky buffer to match on the HTTP Cookie/Set-Cookie buffers;Unset;No option:sticky buffer;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/http-keywords.html#http-cookie;
http_method;content modifier to match only on the HTTP method-buffer;Unset;No option:content modifier;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/http-keywords.html#http-method;
http.method;sticky buffer to match specifically and only on the HTTP method buffer;Unset;No option:sticky buffer;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/http-keywords.html#http-method;
http.protocol;http_protocol sticky buffer;Unset;No option:sticky buffer;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/http-keywords.html#http-protocol;
http.start;http_start sticky buffer;Unset;No option:sticky buffer;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/http-keywords.html#http-start;
urilen;match on the length of the HTTP uri;Unset;none;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/http-keywords.html#urilen;
http_client_body;content modifier to match only on HTTP request-body;Unset;No option:content modifier;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/http-keywords.html#http-client-body;
http.request_body;sticky buffer to match the HTTP request body buffer;Unset;No option:sticky buffer;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/http-keywords.html#http-client-body;
http_server_body;content modifier to match on the HTTP response-body;Unset;No option:content modifier;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/http-keywords.html#http-server-body;
http.response_body;sticky buffer to match the HTTP response body buffer;Unset;No option:sticky buffer;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/http-keywords.html#http-server-body;
http_header;content modifier to match only on the HTTP header-buffer;Unset;No option:content modifier;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/http-keywords.html#http-header-and-http-raw-header;
http.header;sticky buffer to match on the normalized HTTP header-buffer;Unset;No option:sticky buffer;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/http-keywords.html#http-header-and-http-raw-header;
http.header_names;http_header_names sticky buffer;Unset;No option:sticky buffer;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/http-keywords.html#http-header-names;
http.accept;http.accept sticky buffer for the http accept header;Unset;No option:sticky buffer;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/http-keywords.html#http-accept;
http.accept_lang;http.accept_lang sticky buffer for the http accept language header;Unset;No option:sticky buffer;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/http-keywords.html#http-accept-lang;
http.accept_enc;http.accept_enc sticky buffer for the http accept encoding header;Unset;No option:sticky buffer;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/http-keywords.html#http-accept-enc;
http.connection;http.connection sticky buffer for the http connection header;Unset;No option:sticky buffer;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/http-keywords.html#http-connection;
http.content_len;http.content_len sticky buffer for the http content length header;Unset;No option:sticky buffer;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/http-keywords.html#http-content-len;
http.content_type;http.content_type sticky buffer for the http content type header;Unset;No option:sticky buffer;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/http-keywords.html#http-content-type;
http.location;http.location sticky buffer for the http location header;Unset;No option:sticky buffer;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/http-keywords.html#http-location;
http.server;http.server sticky buffer for the http server header;Unset;No option:sticky buffer;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/http-keywords.html#http-server;
http.referer;http.referer sticky buffer for the http referer header;Unset;No option:sticky buffer;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/http-keywords.html#http-referer;
http_raw_header;content modifier to match the raw HTTP header buffer;Unset;No option:content modifier;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/http-keywords.html#http-header-and-http-raw-header;
http.header.raw;sticky buffer to match the raw HTTP header buffer;Unset;No option:sticky buffer;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/http-keywords.html#http-header-and-http-raw-header;
http_uri;content modifier to match specifically and only on the HTTP uri-buffer;Unset;No option:content modifier;https://suricata.readthedocs.io/en/suricata-6.0.16/rules/http-keywords.html#http-uri-and-http-raw-uri;
