name;description;app layer;features;documentation
filesha256;match file SHA-256 against list of SHA-256 checksums;Unset;none;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/file-keywords.html#filesha256;
filesize;match on the size of the file as it is being transferred;Unset;none;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/file-keywords.html#filesize;
l3_proto;;Unset;none;;
lua;match via a lua script;Unset;none;https://suricata.readthedocs.io/en/latest/rules/rule-lua-scripting.html;
iprep;;Unset;compatible with IP only rule;;
dns_query;content modifier to match specifically and only on the DNS query-buffer;Unset;No option;;
tls_sni;content modifier to match specifically and only on the TLS SNI buffer;Unset;No option;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/tls-keywords.html#tls-sni;
tls_cert_issuer;content modifier to match specifically and only on the TLS cert issuer buffer;Unset;No option;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/tls-keywords.html#tls-cert-issuer;
tls_cert_subject;content modifier to match specifically and only on the TLS cert subject buffer;Unset;No option;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/tls-keywords.html#tls-cert-subject;
tls_cert_serial;content modifier to match the TLS cert serial buffer;Unset;No option;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/tls-keywords.html#tls-cert-serial;
tls_cert_fingerprint;content modifier to match the TLS cert fingerprint buffer;Unset;No option;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/tls-keywords.html#tls-cert-fingerprint;
ja3_hash;content modifier to match the JA3 hash buffer;Unset;No option;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/ja3-keywords.html#ja3-hash;
ja3_string;content modifier to match the JA3 string buffer;Unset;No option;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/ja3-keywords.html#ja3-string;
modbus;;Unset;none;;
cip_service;Rules for detecting CIP Service ;Unset;none;;
enip_command;Rules for detecting EtherNet/IP command;Unset;none;;
dnp3_data;;Unset;No option;;
dnp3_func;;Unset;none;;
dnp3_ind;;Unset;none;;
dnp3_obj;;Unset;none;;
xbits;operate on bits;Unset;compatible with IP only rule;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/xbits.html;
base64_decode;Decodes base64 encoded data.;Unset;none;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/payload-keywords.html#base64-decode;
base64_data;Content match base64 decoded data.;Unset;No option;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/payload-keywords.html#base64-data;
krb5_err_code;match Kerberos 5 message type;Unset;none;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/kerberos-keywords.html#krb5_err_code;
krb5_msg_type;match Kerberos 5 message type;Unset;none;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/kerberos-keywords.html#krb5_msg_type;
krb5_cname;sticky buffer to match on Kerberos 5 client name;Unset;No option;;
krb5_sname;sticky buffer to match on Kerberos 5 server name;Unset;No option;;
template2;TODO describe the keyword;Unset;prefilter;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/header-keywords.html#template2;
ftpdata_command;match FTP command triggering a FTP data channel;Unset;none;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/ftp-keywords.html#ftpdata-command;
target;indicate to output module which side is the target of the attack;Unset;none;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/meta.html#target;
bypass;call the bypass callback when the match of a sig is complete;Unset;No option;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/bypass-keyword.html;
prefilter;force a condition to be used as prefilter;Unset;No option;/rules/prefilter-keywords.html#prefilter;
compress_whitespace;modify buffer to strip whitespace before inspection;Unset;No option:transform;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/transforms.html#compress-whitespace;
strip_whitespace;modify buffer to strip whitespace before inspection;Unset;No option:transform;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/transforms.html#strip-whitespace;
to_sha256;convert to sha256 hash of the buffer;Unset;No option:transform;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/transforms.html#to-sha256;
