name;description;app layer;features;documentation
sid;set rule id;Unset;none;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/meta.html#sid-signature-id;
priority;rules with a higher priority will be examined first;Unset;none;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/meta.html#priority;
rev;set version of the rule;Unset;none;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/meta.html#rev-revision;
classtype;information about the classification of rules and alerts;Unset;none;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/meta.html#classtype;
app-layer-protocol;;Unset;prefilter;;
ack;check for a specific TCP acknowledgement number;Unset;prefilter;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/header-keywords.html#ack;
seq;check for a specific TCP sequence number;Unset;prefilter;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/header-keywords.html#seq;
window;check for a specific TCP window size;Unset;none;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/header-keywords.html#window;
ipopts;check if a specific IP option is set;Unset;none;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/header-keywords.html#ipopts;
flags;;Unset;prefilter;;
fragbits;check if the fragmentation and reserved bits are set in the IP header;Unset;prefilter;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/header-keywords.html#fragbits-ip-fragmentation;
fragoffset;match on specific decimal values of the IP fragment offset field;Unset;prefilter;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/header-keywords.html#fragoffset;
ttl;check for a specific IP time-to-live value;Unset;prefilter;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/header-keywords.html#ttl;
tos;;Unset;none;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/header-keywords.html#tos;
itype;matching on a specific ICMP type;Unset;prefilter;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/header-keywords.html#itype;
icode;match on specific ICMP id-value;Unset;prefilter;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/header-keywords.html#icode;
icmp_id;check for a ICMP id;Unset;prefilter;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/header-keywords.html#icmp-id;
icmp_seq;check for a ICMP sequence number;Unset;prefilter;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/header-keywords.html#icmp-seq;
dsize;match on the size of the packet payload;Unset;prefilter;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/payload-keywords.html#dsize;
flow;match on direction and state of the flow;Unset;prefilter;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/flow-keywords.html#flow;
threshold;control the rule's alert frequency;Unset;compatible with IP only rule;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/thresholding.html#threshold;
metadata;used by suricata for logging;Unset;none;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/meta.html#metadata;
reference;direct to places where information about the rule can be found;Unset;none;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/meta.html#reference;
tag;;Unset;compatible with IP only rule;;
msg;information about the rule and the possible alert;Unset;none;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/meta.html#msg-message;
content;match on payload content;Unset;none;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/payload-keywords.html#content;
uricontent;;Unset;none;;
pcre;match on regular expression;Unset;none;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/payload-keywords.html#pcre-perl-compatible-regular-expressions;
depth;designate how many bytes from the beginning of the payload will be checked;Unset;none;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/payload-keywords.html#depth;
startswith;pattern must be at the start of a buffer (same as 'depth:<pattern len>');Unset;No option;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/payload-keywords.html#startswith;
endswith;make sure the previous content matches exactly at the end of the buffer;Unset;No option;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/payload-keywords.html#endswith;
distance;indicates a relation between this content keyword and the content preceding it;Unset;none;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/payload-keywords.html#distance;
within;indicate that this content match has to be within a certain distance of the previous content keyword match;Unset;none;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/payload-keywords.html#within;
offset;designate from which byte in the payload will be checked to find a match;Unset;none;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/payload-keywords.html#offset;
replace;;Unset;none;;
nocase;modify content match to be case insensitive;Unset;No option;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/payload-keywords.html#nocase;
fast_pattern;force using preceding content in the multi pattern matcher;Unset;No option;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/prefilter-keywords.html#fast-pattern;
rawbytes;;Unset;No option;;
byte_test;;Unset;none;;
byte_jump;;Unset;none;;
sameip;check if the IP address of the source is the same as the IP address of the destination;Unset;No option;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/header-keywords.html#sameip;
geoip;;Unset;none;;
ip_proto;match on the IP protocol in the packet-header;Unset;none;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/header-keywords.html#ip-proto;
ftpbounce;;Unset;No option;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/ftp-keywords.html#ftpbounce;
isdataat;check if there is still data at a specific part of the payload;Unset;none;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/payload-keywords.html#isdataat;
id;match on a specific IP ID value;Unset;prefilter;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/header-keywords.html#id;
rpc;match RPC procedure numbers and RPC version;Unset;none;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/payload-keywords.html#rpc;
flowvar;;Unset;none;;
flowint;operate on a per-flow integer;Unset;none;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/flow-keywords.html#flowint;
pktvar;;Unset;none;;
noalert;;Unset;No option;;
flowbits;operate on flow flag;Unset;compatible with IP only rule;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/flow-keywords.html#flowbits;
hostbits;operate on host flag;Unset;compatible with IP only rule;;
ipv4-csum;;Unset;none;;
tcpv4-csum;;Unset;none;;
tcpv6-csum;;Unset;none;;
udpv4-csum;;Unset;none;;
udpv6-csum;;Unset;none;;
icmpv4-csum;;Unset;none;;
icmpv6-csum;;Unset;none;;
stream_size;match on amount of bytes of a stream;Unset;none;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/flow-keywords.html#stream-size;
detection_filter;alert on every match after a threshold has been reached;Unset;compatible with IP only rule;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/thresholding.html#detection-filter;
decode-event;;Unset;compatible with decoder event only rule;;
gid;give different groups of signatures another id value;Unset;none;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/meta.html#gid-group-id;
nfq_set_mark;;Unset;none;;
bsize;match on the length of a buffer;Unset;none;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/payload-keywords.html#bsize;
tls.version;match on TLS/SSL version;Unset;none;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/tls-keywords.html#tls-version;
tls.subject;match TLS/SSL certificate Subject field;Unset;none;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/tls-keywords.html#tls-subject;
tls.issuerdn;match TLS/SSL certificate IssuerDN field;Unset;none;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/tls-keywords.html#tls-issuerdn;
tls_cert_notbefore;match TLS certificate notBefore field;Unset;none;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/tls-keywords.html#tls-cert-notbefore;
tls_cert_notafter;match TLS certificate notAfter field;Unset;none;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/tls-keywords.html#tls-cert-notafter;
tls_cert_expired;match expired TLS certificates;Unset;No option;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/tls-keywords.html#tls-cert-expired;
tls_cert_valid;match valid TLS certificates;Unset;No option;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/tls-keywords.html#tls-cert-valid;
tls.fingerprint;match TLS/SSL certificate SHA1 fingerprint;Unset;none;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/tls-keywords.html#tls-fingerprint;
tls_store;store TLS/SSL certificate on disk;Unset;No option;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/tls-keywords.html#tls-store;
http_cookie;content modifier to match only on the HTTP cookie-buffer;Unset;No option;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/http-keywords.html#http-cookie;
http_method;content modifier to match only on the HTTP method-buffer;Unset;No option;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/http-keywords.html#http-method;
http_protocol;http_protocol sticky buffer;Unset;No option;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/http-keywords.html#http-protocol;
http_start;http_start sticky buffer;Unset;No option;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/http-keywords.html#http-start;
urilen;match on the length of the HTTP uri;Unset;none;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/http-keywords.html#urilen;
http_client_body;content modifier to match only on HTTP request-body;Unset;No option;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/http-keywords.html#http-client-body;
http_server_body;content modifier to match only on the HTTP response-body;Unset;No option;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/http-keywords.html#http-server-body;
http_header;content modifier to match only on the HTTP header-buffer;Unset;No option;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/http-keywords.html#http-header-and-http-raw-header;
http_header_names;http_header_names sticky buffer;Unset;No option;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/http-keywords.html#http-header-names;
http_accept;http_accept sticky buffer for the http accept header;Unset;No option;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/http-keywords.html#http-accept;
http_accept_lang;http_accept_lang sticky buffer for the http accept language header;Unset;No option;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/http-keywords.html#http-accept-lang;
http_accept_enc;http_accept_enc sticky buffer for the http accept encoding header;Unset;No option;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/http-keywords.html#http-accept-enc;
http_connection;http_connection sticky buffer for the http connection header;Unset;No option;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/http-keywords.html#http-connection;
http_content_len;http_content_len sticky buffer for the http content length header;Unset;No option;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/http-keywords.html#http-content-len;
http_content_type;http_content_type sticky buffer for the http content type header;Unset;No option;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/http-keywords.html#http-content-type;
http_referer;http_referer sticky buffer for the http referer header;Unset;No option;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/http-keywords.html#http-referer;
http_raw_header;;Unset;No option;;
http_uri;content modifier to match specifically and only on the HTTP uri-buffer;Unset;No option;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/http-keywords.html#http-uri-and-http-raw-uri;
http_raw_uri;content modifier to match on HTTP uri;Unset;No option;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/http-keywords.html#http-uri-and-http-raw-uri;
http_stat_msg;content modifier to match on HTTP stat-msg-buffer;Unset;No option;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/http-keywords.html#http-stat-msg;
http_stat_code;content modifier to match only on HTTP stat-code-buffer;Unset;No option;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/http-keywords.html#http-stat-code;
http_user_agent;content modifier to match only on the HTTP User-Agent header;Unset;No option;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/http-keywords.html#http-user-agent;
http_host;content modifier to match only on the HTTP hostname;Unset;No option;;
http_raw_host;content modifier to match only on the HTTP host header or the raw hostname from the HTTP uri;Unset;No option;;
http_request_line;content modifier to match only on the HTTP request line;Unset;No option;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/http-keywords.html#http-request-line;
http_response_line;content modifier to match only on the HTTP response line;Unset;No option;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/http-keywords.html#http-response-line;
nfs_procedure;match NFS procedure;Unset;none;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/nfs-keywords.html#procedure;
nfs_version;match NFS version;Unset;none;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/nfs-keywords.html#version;
ssh_proto;ssh_protocol sticky buffer;Unset;No option;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/ssh-keywords.html#ssh-proto;
ssh.protoversion;match SSH protocol version;Unset;none;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/ssh-keywords.html#ssh-protoversion;
ssh_software;ssh_software sticky buffer;Unset;No option;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/ssh-keywords.html#ssh-software;
ssh.softwareversion;match SSH software string;Unset;none;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/ssh-keywords.html#ssh-softwareversion;
ssl_version;;Unset;none;;
ssl_state;;Unset;none;;
byte_extract;;Unset;none;;
file_data;make content keywords match on HTTP response body;Unset;No option;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/http-keywords.html#file-data;
pkt_data;;Unset;No option;;
app-layer-event;;Unset;none;;
dce_iface;;Unset;none;;
dce_opnum;;Unset;none;;
dce_stub_data;;Unset;No option;;
smb_named_pipe;sticky buffer to match on SMB named pipe in tree connect;Unset;No option;;
smb_share;sticky buffer to match on SMB share name in tree connect;Unset;No option;;
asn1;;Unset;none;;
engine-event;;Unset;none;;
stream-event;;Unset;none;;
filename;match on the file name;Unset;none;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/file-keywords.html#filename;
fileext;match on the extension of a file name;Unset;none;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/file-keywords.html#fileext;
filestore;stores files to disk if the rule matched;Unset;none;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/file-keywords.html#filestore;
filemagic;match on the information libmagic returns about a file;Unset;none;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/file-keywords.html#filemagic;
filemd5;match file MD5 against list of MD5 checksums;Unset;none;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/file-keywords.html#filemd5;
filesha1;match file SHA-1 against list of SHA-1 checksums;Unset;none;https://suricata.readthedocs.io/en/suricata-4.1.7/rules/file-keywords.html#filesha1;
