name;description;app layer;features;documentation
ip_proto;match on the IP protocol in the packet-header;Unset;none;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/header-keywords.html#ip-proto;
ftpbounce;detect FTP bounce attacks;Unset;No option;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/ftp-keywords.html#ftpbounce;
id;match on a specific IP ID value;Unset;prefilter;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/header-keywords.html#id;
rpc;match RPC procedure numbers and RPC version;Unset;none;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/payload-keywords.html#rpc;
noalert;no alert will be generated by the rule;Unset;No option;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/noalert.html;
alert;alert will be generated by the rule;Unset;No option;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/noalert.html;
ipv4-csum;;Unset;none;;
tcpv4-csum;;Unset;none;;
tcpv6-csum;;Unset;none;;
udpv4-csum;;Unset;none;;
udpv6-csum;;Unset;none;;
icmpv4-csum;;Unset;none;;
icmpv6-csum;;Unset;none;;
stream_size;match on amount of bytes of a stream;Unset;prefilter;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/flow-keywords.html#stream-size;
detection_filter;alert on every match after a threshold has been reached;Unset;compatible with IP only rule;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/thresholding.html#detection-filter;
decode-event;;Unset;compatible with decoder event only rule:prefilter;;
gid;give different groups of signatures another id value;Unset;none;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/meta.html#gid-group-id;
nfq_set_mark;;Unset;none;;
frame;sticky buffer for inspecting app-layer frames;Unset;sticky buffer;;
flow.age;match flow age;Unset;prefilter;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/flow-keywords.html#flow-age;
flow.pkts;match number of packets in a flow;Unset;prefilter;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/flow-keywords.html#flow-pkts;
flow.pkts_toserver;match number of packets in a flow in to server direction;Unset;prefilter;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/flow-keywords.html#flow-pkts;
flow.pkts_toclient;match number of packets in a flow in to client direction;Unset;prefilter;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/flow-keywords.html#flow-pkts;
flow.bytes;match number of bytes in a flow;Unset;none;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/flow-keywords.html#flow-bytes;
flow.bytes_toserver;match number of bytes in a flow in to server dir;Unset;none;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/flow-keywords.html#flow-bytes;
flow.bytes_toclient;match number of bytes in a flow in to client dir;Unset;none;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/flow-keywords.html#flow-bytes;
requires;require Suricata version or features;Unset;none;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/meta-keywords.html#requires;
tls.version;match on TLS/SSL version;Unset;none;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/tls-keywords.html#tls-version;
tls.subject;match TLS/SSL certificate Subject field;Unset;none;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/tls-keywords.html#tls-subject;
tls.issuerdn;match TLS/SSL certificate IssuerDN field;Unset;none;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/tls-keywords.html#tls-issuerdn;
tls_cert_notbefore;match TLS certificate notBefore field;Unset;none;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/tls-keywords.html#tls-cert-notbefore;
tls_cert_notafter;match TLS certificate notAfter field;Unset;none;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/tls-keywords.html#tls-cert-notafter;
tls_cert_expired;match expired TLS certificates;Unset;No option;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/tls-keywords.html#tls-cert-expired;
tls_cert_valid;match valid TLS certificates;Unset;No option;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/tls-keywords.html#tls-cert-valid;
tls.fingerprint;match TLS/SSL certificate SHA1 fingerprint;Unset;none;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/tls-keywords.html#tls-fingerprint;
tls_store;store TLS/SSL certificate on disk;Unset;No option;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/tls-keywords.html#tls-store;
tls.cert_chain_len;match TLS certificate chain length;Unset;none;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/tls-keywords.html#tls-cert-chain-len;
tls.alpn;sticky buffer to match the TLS ALPN buffer;Unset;No option:sticky buffer;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/tls-keywords.html#tls-alpn;
http_cookie;content modifier to match only on the HTTP cookie-buffer;Unset;No option:content modifier;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/http-keywords.html#http-cookie;
http.cookie;sticky buffer to match on the HTTP Cookie/Set-Cookie buffers;Unset;No option:sticky buffer;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/http-keywords.html#http-cookie;
http_method;content modifier to match only on the HTTP method-buffer;Unset;No option:content modifier;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/http-keywords.html#http-method;
http.method;sticky buffer to match specifically and only on the HTTP method buffer;Unset;No option:sticky buffer;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/http-keywords.html#http-method;
http.protocol;http_protocol sticky buffer;Unset;No option:sticky buffer;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/http-keywords.html#http-protocol;
http.start;http_start sticky buffer;Unset;No option:sticky buffer;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/http-keywords.html#http-start;
http_client_body;content modifier to match only on HTTP request-body;Unset;No option:content modifier;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/http-keywords.html#http-client-body;
http.request_body;sticky buffer to match the HTTP request body buffer;Unset;No option:sticky buffer;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/http-keywords.html#http-client-body;
http_server_body;content modifier to match on the HTTP response-body;Unset;No option:content modifier;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/http-keywords.html#http-server-body;
http.response_body;sticky buffer to match the HTTP response body buffer;Unset;No option:sticky buffer;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/http-keywords.html#http-server-body;
http_header;content modifier to match only on the HTTP header-buffer;Unset;No option:content modifier;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/http-keywords.html#http-header-and-http-raw-header;
http.header;sticky buffer to match on the normalized HTTP header-buffer;Unset;No option:sticky buffer;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/http-keywords.html#http-header-and-http-raw-header;
http.header_names;http_header_names sticky buffer;Unset;No option:sticky buffer;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/http-keywords.html#http-header-names;
http.accept;http.accept sticky buffer for the http accept header;Unset;sticky buffer;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/http-keywords.html#http-accept;
http.accept_lang;http.accept_lang sticky buffer for the http accept language header;Unset;sticky buffer;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/http-keywords.html#http-accept-lang;
http.accept_enc;http.accept_enc sticky buffer for the http accept encoding header;Unset;sticky buffer;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/http-keywords.html#http-accept-enc;
http.connection;http.connection sticky buffer for the http connection header;Unset;sticky buffer;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/http-keywords.html#http-connection;
http.content_len;http.content_len sticky buffer for the http content length header;Unset;sticky buffer;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/http-keywords.html#http-content-len;
http.content_type;http.content_type sticky buffer for the http content type header;Unset;sticky buffer;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/http-keywords.html#http-content-type;
http.location;http.location sticky buffer for the http location header;Unset;No option:sticky buffer;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/http-keywords.html#http-location;
http.server;http.server sticky buffer for the http server header;Unset;No option:sticky buffer;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/http-keywords.html#http-server;
http.referer;http.referer sticky buffer for the http referer header;Unset;sticky buffer;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/http-keywords.html#http-referer;
http_raw_header;content modifier to match the raw HTTP header buffer;Unset;No option:content modifier;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/http-keywords.html#http-header-and-http-raw-header;
http.header.raw;sticky buffer to match the raw HTTP header buffer;Unset;No option:sticky buffer;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/http-keywords.html#http-header-and-http-raw-header;
http_uri;content modifier to match specifically and only on the HTTP uri-buffer;Unset;No option:content modifier;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/http-keywords.html#http-uri-and-http-uri-raw;
http.uri;sticky buffer to match specifically and only on the normalized HTTP URI buffer;Unset;No option:sticky buffer;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/http-keywords.html#http-uri-and-http-uri-raw;
http.uri.raw;sticky buffer to match specifically and only on the raw HTTP URI buffer;Unset;No option:sticky buffer;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/http-keywords.html#http-uri-and-http-raw-uri;
http_raw_uri;content modifier to match on the raw HTTP uri;Unset;No option:content modifier;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/http-keywords.html#http_uri-and-http_raw-uri;
http_stat_msg;content modifier to match on HTTP stat-msg-buffer;Unset;No option:content modifier;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/http-keywords.html#http-stat-msg;
http.stat_msg;sticky buffer to match on the HTTP response status message;Unset;No option:sticky buffer;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/http-keywords.html#http-stat-msg;
http_stat_code;content modifier to match only on HTTP stat-code-buffer;Unset;No option:content modifier;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/http-keywords.html#http-stat-code;
http.stat_code;sticky buffer to match only on HTTP stat-code-buffer;Unset;No option:sticky buffer;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/http-keywords.html#http-stat-code;
http_user_agent;content modifier to match only on the HTTP User-Agent header;Unset;No option:content modifier;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/http-keywords.html#http-user-agent;
http.user_agent;sticky buffer to match specifically and only on the HTTP User Agent buffer;Unset;No option:sticky buffer;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/http-keywords.html#http-user-agent;
http_host;content modifier to match on the HTTP hostname;Unset;No option:content modifier;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/http-keywords.html#http-host-and-http-raw-host;
http.host;sticky buffer to match on the HTTP Host buffer;Unset;No option:sticky buffer;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/http-keywords.html#http-host-and-http-raw-host;
http_raw_host;content modifier to match on the HTTP host header or the raw hostname from the HTTP uri;Unset;No option:content modifier;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/http-keywords.html#http-host-and-http-raw-host;
http.host.raw;sticky buffer to match on the HTTP host header or the raw hostname from the HTTP uri;Unset;No option:sticky buffer;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/http-keywords.html#http-host-and-http-raw-host;
http.request_line;sticky buffer to match on the HTTP request line;Unset;No option:sticky buffer;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/http-keywords.html#http-request-line;
http.response_line;content modifier to match only on the HTTP response line;Unset;No option:sticky buffer;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/http-keywords.html#http-response-line;
nfs_procedure;match NFS procedure;Unset;none;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/nfs-keywords.html#procedure;
nfs.version;match NFS version;Unset;none;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/nfs-keywords.html#version;
ssh.proto;ssh.proto sticky buffer;Unset;No option:sticky buffer;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/ssh-keywords.html#ssh-proto;
ssh.protoversion;obsolete keyword, use now ssh.proto;Unset;none;;
ssh.software;ssh_software sticky buffer;Unset;No option:sticky buffer;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/ssh-keywords.html#ssh-software;
ssh.softwareversion;obsolete keyword, use now ssh.software;Unset;none;;
ssh.hassh;ssh.hassh sticky buffer;Unset;No option:sticky buffer;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/ssh-keywords.html#hassh;
ssh.hassh.server;ssh.hassh.server sticky buffer;Unset;No option:sticky buffer;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/ssh-keywords.html#ssh.hassh.server;
ssh.hassh.string;ssh.hassh.string sticky buffer;Unset;No option:sticky buffer;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/ssh-keywords.html#hassh.string;
ssh.hassh.server.string;ssh.hassh.server.string sticky buffer;Unset;No option:sticky buffer;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/ssh-keywords.html#ssh.hassh.server.string;
ssl_version;match version of SSL/TLS record;Unset;none;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/tls-keywords.html#ssl-version;
ssl_state;match the state of the SSL connection;Unset;none;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/tls-keywords.html#ssl-state;
file.data;make content keywords match on file data;Unset;none;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/file-keywords.html#file-data;
pkt_data;;Unset;No option;;
app-layer-event;match on events generated by the App Layer Parsers and the protocol detection engine;Unset;none;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/app-layer.html#app-layer-event;
app-layer-state;match on events generated by the App Layer Parsers and the protocol detection engine;Unset;none;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/app-layer.html#app-layer-event;
http2.frametype;match on HTTP2 frame type field;Unset;none;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/http2-keywords.html#frametype;
http2.errorcode;match on HTTP2 error code field;Unset;none;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/http2-keywords.html#errorcode;
http2.priority;match on HTTP2 priority weight field;Unset;none;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/http2-keywords.html#priority;
http2.window;match on HTTP2 window update size increment field;Unset;none;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/http2-keywords.html#window;
http2.size_update;match on HTTP2 dynamic headers table size update;Unset;none;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/http2-keywords.html#sizeupdate;
http2.settings;match on HTTP2 settings identifier and value fields;Unset;none;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/http2-keywords.html#settings;
http2.header_name;sticky buffer to match on one HTTP2 header name;Unset;No option:sticky buffer;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/http2-keywords.html#header_name;
http.request_header;sticky buffer to match on only one HTTP header name and value;Unset;No option:sticky buffer;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/http-keywords.html#request_header;
http.response_header;sticky buffer to match on only one HTTP header name and value;Unset;No option:sticky buffer;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/http2-keywords.html#response_header;
dcerpc.iface;;Unset;none;;
dcerpc.opnum;;Unset;none;;
dcerpc.stub_data;;Unset;No option:sticky buffer;;
smb.named_pipe;sticky buffer to match on SMB named pipe in tree connect;Unset;No option:sticky buffer;;
smb.share;sticky buffer to match on SMB share name in tree connect;Unset;No option:sticky buffer;;
smb.ntlmssp_user;sticky buffer to match on SMB ntlmssp user in session setup;Unset;No option:sticky buffer;;
smb.ntlmssp_domain;sticky buffer to match on SMB ntlmssp domain in session setup;Unset;No option:sticky buffer;;
smb.version;smb keyword to match on SMB version;Unset;none;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/smb-keywords.html#smb-version;
engine-event;;Unset;none;;
stream-event;;Unset;prefilter;;
config;;Unset;none;;
filename;match on the file name;Unset;none;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/file-keywords.html#filename;
file.name;sticky buffer to match on the file name;Unset;sticky buffer;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/file-keywords.html#filename;
fileext;match on the extension of a file name;Unset;none;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/file-keywords.html#fileext;
filestore;stores files to disk if the rule matched;Unset;none;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/file-keywords.html#filestore;
filemagic;match on the information libmagic returns about a file;Unset;none;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/file-keywords.html#filemagic;
file.magic;sticky buffer to match on the file magic;Unset;sticky buffer;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/file-keywords.html#filemagic;
filemd5;match file MD5 against list of MD5 checksums;Unset;none;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/file-keywords.html#filemd5;
filesha1;match file SHA-1 against list of SHA-1 checksums;Unset;none;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/file-keywords.html#filesha1;
filesha256;match file SHA-256 against list of SHA-256 checksums;Unset;none;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/file-keywords.html#filesha256;
filesize;match on the size of the file as it is being transferred;Unset;none;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/file-keywords.html#filesize;
l3_proto;;Unset;none;;
iprep;match on the IP reputation information for a host;Unset;compatible with IP only rule;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/ip-reputation-rules.html#iprep;
dns.query;sticky buffer to match DNS query-buffer;Unset;No option:sticky buffer;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/dns-keywords.html#dns-query;
dns.opcode;Match the DNS header opcode flag.;Unset;none;;
dns.rcode;Match the DNS header rcode flag.;Unset;none;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/dns-keywords.html#dns-rcode;
dns.response.rrname;DNS response sticky buffer;Unset;No option:sticky buffer;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/dns-keywords.html#dns-response-rrname;
dns.rrtype;Match the DNS rrtype in message body.;Unset;none;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/dns-keywords.html#dns-rrtype;
tls.sni;sticky buffer to match specifically and only on the TLS SNI buffer;Unset;No option:sticky buffer;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/tls-keywords.html#tls-sni;
tls.certs;sticky buffer to match the TLS certificate buffer;Unset;No option:sticky buffer;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/tls-keywords.html#tls-certs;
tls.cert_issuer;sticky buffer to match specifically and only on the TLS cert issuer buffer;Unset;No option:sticky buffer;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/tls-keywords.html#tls-cert-issuer;
tls.cert_subject;sticky buffer to match specifically and only on the TLS cert subject buffer;Unset;No option:sticky buffer;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/tls-keywords.html#tls-cert-subject;
tls.cert_serial;sticky buffer to match the TLS cert serial buffer;Unset;No option:sticky buffer;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/tls-keywords.html#tls-cert-serial;
tls.cert_fingerprint;sticky buffer to match the TLS cert fingerprint buffer;Unset;No option:sticky buffer;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/tls-keywords.html#tls-cert-fingerprint;
tls.subjectaltname;sticky buffer to match the TLS Subject Alternative Name buffer;Unset;No option:sticky buffer;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/tls-keywords.html#tls-subjectaltname;
tls.random_time;sticky buffer to match specifically and only on the first 4 bytes of a TLS random buffer;Unset;No option:sticky buffer;https://docs.suricata.io/en/suricata-8.0.0-beta1/rules/tls-keywords.html#tls-random-time;
